row_id,icd9_code,short_title,long_title
58,0069,Amebiasis NOS,"Amebiasis, unspecified"
59,0070,Balantidiasis,Balantidiasis
60,0071,Giardiasis,Giardiasis
61,0072,Coccidiosis,Coccidiosis
62,0073,Intest trichomoniasis,Intestinal trichomoniasis
63,0074,Cryptosporidiosis,Cryptosporidiosis
64,0075,Cyclosporiasis,Cyclosporiasis
65,0078,Protozoal intest dis NEC,Other specified protozoal intestinal diseases
66,0079,Protozoal intest dis NOS,Unspecified protozoal intestinal disease
67,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
68,00801,Int inf e coli entrpath,Intestinal infection due to enteropathogenic E. coli
69,00802,Int inf e coli entrtoxgn,Intestinal infection due to enterotoxigenic E. coli
70,00803,Int inf e coli entrnvsv,Intestinal infection due to enteroinvasive E. coli
71,00804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli
72,00809,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections
73,0081,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli
74,0082,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes
75,0083,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii)
76,00841,Staphylococc enteritis,Intestinal infection due to staphylococcus
77,00842,Pseudomonas enteritis,Intestinal infection due to pseudomonas
78,00843,Int infec campylobacter,Intestinal infection due to campylobacter
79,00844,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica
80,00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile
81,00846,Intes infec oth anerobes,Intestinal infection due to other anaerobes
82,00847,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria
83,00849,Bacterial enteritis NEC,Intestinal infection due to other organisms
84,0085,Bacterial enteritis NOS,"Bacterial enteritis, unspecified"
85,00861,Intes infec rotavirus,Enteritis due to rotavirus
86,00862,Intes infec adenovirus,Enteritis due to adenovirus
87,00863,Int inf norwalk virus,Enteritis due to norwalk virus
88,00864,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's]
89,00865,Enteritis d/t calicivirs,Enteritis due to calicivirus
90,00866,Intes infec astrovirus,Enteritis due to astrovirus
91,00867,Int inf enterovirus NEC,Enteritis due to enterovirus nec
92,00869,Other viral intes infec,Enteritis due to other viral enteritis
93,0088,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified"
94,0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis"
95,0091,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
96,0092,Infectious diarrhea NOS,Infectious diarrhea
97,0093,Diarrhea of infect orig,Diarrhea of presumed infectious origin
98,01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
99,01001,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done"
100,01002,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
101,01003,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
102,01004,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
103,01005,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
104,01006,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
105,01010,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
106,01011,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
107,01012,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
108,01013,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
109,01014,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
110,01015,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
111,01016,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
112,01080,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified"
113,01081,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
114,01082,Prim pr TB NEC-exam unkn,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
115,01083,Prim prg TB NEC-micro dx,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
116,01084,Prim prog TB NEC-cult dx,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
117,01085,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
118,01086,Prim prg TB NEC-oth test,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
119,01090,Primary TB NOS-unspec,"Primary tuberculous infection, unspecified, unspecified"
120,01091,Primary TB NOS-no exam,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
121,01092,Primary TB NOS-exam unkn,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
122,01093,Primary TB NOS-micro dx,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
123,01094,Primary TB NOS-cult dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
124,01095,Primary TB NOS-histo dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
125,01096,Primary TB NOS-oth test,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
126,01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
127,01101,TB lung infiltr-no exam,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
128,01102,TB lung infiltr-exm unkn,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
129,01103,TB lung infiltr-micro dx,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
130,01104,TB lung infiltr-cult dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
131,01105,TB lung infiltr-histo dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
132,01106,TB lung infiltr-oth test,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
133,01110,TB lung nodular-unspec,"Tuberculosis of lung, nodular, unspecified"
134,01111,TB lung nodular-no exam,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
135,01112,TB lung nodul-exam unkn,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
136,01113,TB lung nodular-micro dx,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
137,01114,TB lung nodular-cult dx,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
138,01115,TB lung nodular-histo dx,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
139,01116,TB lung nodular-oth test,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
140,01120,TB lung w cavity-unspec,"Tuberculosis of lung with cavitation, unspecified"
141,01121,TB lung w cavity-no exam,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
142,01122,TB lung cavity-exam unkn,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
143,01123,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
144,01124,TB lung w cavity-cult dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
145,01125,TB lung w cavit-histo dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
146,01126,TB lung w cavit-oth test,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
147,01130,TB of bronchus-unspec,"Tuberculosis of bronchus, unspecified"
148,01131,TB of bronchus-no exam,"Tuberculosis of bronchus, bacteriological or histological examination not done"
149,01132,TB of bronchus-exam unkn,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
150,01133,TB of bronchus-micro dx,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
151,01134,TB of bronchus-cult dx,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
152,01135,TB of bronchus-histo dx,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
153,01136,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
154,01140,TB lung fibrosis-unspec,"Tuberculous fibrosis of lung, unspecified"
155,01141,TB lung fibrosis-no exam,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
156,01142,TB lung fibros-exam unkn,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
157,01143,TB lung fibros-micro dx,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
158,01144,TB lung fibrosis-cult dx,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
159,01145,TB lung fibros-histo dx,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
160,01146,TB lung fibros-oth test,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
161,01150,TB bronchiectasis-unspec,"Tuberculous bronchiectasis, unspecified"
162,01151,TB bronchiect-no exam,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
163,01152,TB bronchiect-exam unkn,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
164,01153,TB bronchiect-micro dx,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
165,01154,TB bronchiect-cult dx,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
166,01155,TB bronchiect-histo dx,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
167,01156,TB bronchiect-oth test,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
168,01160,TB pneumonia-unspec,"Tuberculous pneumonia [any form], unspecified"
169,01161,TB pneumonia-no exam,"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
170,01162,TB pneumonia-exam unkn,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
171,01163,TB pneumonia-micro dx,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
172,01164,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
173,01165,TB pneumonia-histo dx,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
174,01166,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
175,01170,TB pneumothorax-unspec,"Tuberculous pneumothorax, unspecified"
176,01171,TB pneumothorax-no exam,"Tuberculous pneumothorax, bacteriological or histological examination not done"
177,01172,TB pneumothorx-exam unkn,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
178,01173,TB pneumothorax-micro dx,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
179,01174,TB pneumothorax-cult dx,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
180,01175,TB pneumothorax-histo dx,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
181,01176,TB pneumothorax-oth test,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
182,01180,Pulmonary TB NEC-unspec,"Other specified pulmonary tuberculosis, unspecified"
183,01181,Pulmonary TB NEC-no exam,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
184,01182,Pulmon TB NEC-exam unkn,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
185,01183,Pulmon TB NEC-micro dx,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
186,01184,Pulmon TB NEC-cult dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
187,01185,Pulmon TB NEC-histo dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
188,01186,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
189,01190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified"
190,01191,Pulmonary TB NOS-no exam,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
191,01192,Pulmon TB NOS-exam unkn,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
192,01193,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
193,01194,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
194,01195,Pulmon TB NOS-histo dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
195,01196,Pulmon TB NOS-oth test,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
196,01200,TB pleurisy-unspec,"Tuberculous pleurisy, unspecified"
197,01201,TB pleurisy-no exam,"Tuberculous pleurisy, bacteriological or histological examination not done"
198,01202,TB pleurisy-exam unkn,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
199,01203,TB pleurisy-micro dx,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
200,01204,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
201,01205,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
202,01206,TB pleurisy-oth test,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
203,01210,TB thoracic nodes-unspec,"Tuberculosis of intrathoracic lymph nodes, unspecified"
204,01211,TB thorax node-no exam,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
205,01212,TB thorax node-exam unkn,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
206,01213,TB thorax node-micro dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
207,01214,TB thorax node-cult dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
208,01215,TB thorax node-histo dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
209,01216,TB thorax node-oth test,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
210,01220,Isol tracheal tb-unspec,"Isolated tracheal or bronchial tuberculosis, unspecified"
211,01221,Isol tracheal tb-no exam,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
212,01222,Isol trach tb-exam unkn,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
213,01223,Isolat trach tb-micro dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
214,01224,Isol tracheal tb-cult dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
215,01225,Isolat trach tb-histo dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
216,01226,Isolat trach tb-oth test,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
217,01230,TB laryngitis-unspec,"Tuberculous laryngitis, unspecified"
218,01231,TB laryngitis-no exam,"Tuberculous laryngitis, bacteriological or histological examination not done"
219,01232,TB laryngitis-exam unkn,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
220,01233,TB laryngitis-micro dx,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
221,01234,TB laryngitis-cult dx,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
222,01235,TB laryngitis-histo dx,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
223,01236,TB laryngitis-oth test,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
224,01280,Resp TB NEC-unspec,"Other specified respiratory tuberculosis, unspecified"
225,01281,Resp TB NEC-no exam,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
226,01282,Resp TB NEC-exam unkn,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
227,01283,Resp TB NEC-micro dx,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
228,01284,Resp TB NEC-cult dx,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
229,01285,Resp TB NEC-histo dx,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
230,01286,Resp TB NEC-oth test,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
231,01300,TB meningitis-unspec,"Tuberculous meningitis, unspecified"
232,01301,TB meningitis-no exam,"Tuberculous meningitis, bacteriological or histological examination not done"
233,0010,Cholera d/t vib cholerae,Cholera due to vibrio cholerae
234,0011,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor
235,0019,Cholera NOS,"Cholera, unspecified"
236,0020,Typhoid fever,Typhoid fever
237,0021,Paratyphoid fever a,Paratyphoid fever A
238,0022,Paratyphoid fever b,Paratyphoid fever B
239,0023,Paratyphoid fever c,Paratyphoid fever C
240,0029,Paratyphoid fever NOS,"Paratyphoid fever, unspecified"
241,0030,Salmonella enteritis,Salmonella gastroenteritis
242,0031,Salmonella septicemia,Salmonella septicemia
243,00320,Local salmonella inf NOS,"Localized salmonella infection, unspecified"
244,00321,Salmonella meningitis,Salmonella meningitis
245,00322,Salmonella pneumonia,Salmonella pneumonia
246,00323,Salmonella arthritis,Salmonella arthritis
247,00324,Salmonella osteomyelitis,Salmonella osteomyelitis
248,00329,Local salmonella inf NEC,Other localized salmonella infections
249,0038,Salmonella infection NEC,Other specified salmonella infections
250,0039,Salmonella infection NOS,"Salmonella infection, unspecified"
251,0040,Shigella dysenteriae,Shigella dysenteriae
252,0041,Shigella flexneri,Shigella flexneri
253,0042,Shigella boydii,Shigella boydii
254,0043,Shigella sonnei,Shigella sonnei
255,0048,Shigella infection NEC,Other specified shigella infections
256,0049,Shigellosis NOS,"Shigellosis, unspecified"
257,0050,Staph food poisoning,Staphylococcal food poisoning
258,0051,Botulism food poisoning,Botulism food poisoning
259,0052,Food pois d/t c. perfrin,Food poisoning due to Clostridium perfringens (C. welchii)
260,0053,Food pois: clostrid NEC,Food poisoning due to other Clostridia
261,0054,Food pois: v. parahaem,Food poisoning due to Vibrio parahaemolyticus
262,00581,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus
263,00589,Bact food poisoning NEC,Other bacterial food poisoning
264,0059,Food poisoning NOS,"Food poisoning, unspecified"
265,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
266,0061,Chr amebiasis w/o absces,Chronic intestinal amebiasis without mention of abscess
267,0062,Amebic nondysent colitis,Amebic nondysenteric colitis
268,01676,TB fem gen NEC-oth test,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
269,01690,Gu TB NOS-unspec,"Genitourinary tuberculosis, unspecified, unspecified"
270,01691,Gu TB NOS-no exam,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination not done"
271,01692,Gu TB NOS-exam unkn,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
272,01693,Gu TB NOS-micro dx,"Genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
